time,anomaly,lower_confidence_limit,upper_confidence_limit,id
1850,-0.39952648,-0.6344203,-0.16463266,1
1851,-0.24745059,-0.49331915,-0.001582013,2
1852,-0.2230961,-0.4598785,0.013686325,3
1853,-0.2953167,-0.49367258,-0.09696084,4
1854,-0.408352,-0.58073765,-0.2359663,5
1855,-0.3482592,-0.51792413,-0.17859428,6
1856,-0.30716658,-0.47735003,-0.13698311,7
1857,-0.48306343,-0.64887464,-0.31725222,8
1858,-0.41892695,-0.58966243,-0.2481915,9
1859,-0.31474683,-0.4819802,-0.14751346,10
1860,-0.32129827,-0.49412847,-0.14846809,11
1861,-0.4530126,-0.637593,-0.26843223,12
1862,-0.37122685,-0.5589497,-0.183504,13
1863,-0.38732743,-0.58728945,-0.18736538,14
1864,-0.4692299,-0.6709279,-0.2675319,15
1865,-0.2976597,-0.4980205,-0.09729888,16
1866,-0.30879125,-0.5188566,-0.098725945,17
1867,-0.30883342,-0.51633704,-0.101329826,18
1868,-0.3452093,-0.5383908,-0.15202782,19
1869,-0.3843773,-0.559281,-0.20947365,20
1870,-0.3437136,-0.4968375,-0.19058974,21
1871,-0.29620588,-0.44415456,-0.14825721,22
1872,-0.29906142,-0.45116082,-0.14696205,23
1873,-0.30706945,-0.45085666,-0.16328229,24
1874,-0.45276964,-0.59633994,-0.30919933,25
1875,-0.26752955,-0.4153169,-0.11974219,26
1876,-0.41325358,-0.5702003,-0.25630686,27
1877,-0.10085537,-0.25542015,0.053709403,28
1878,-0.09384111,-0.2429432,0.055260982,29
1879,-0.27102003,-0.41232103,-0.129719,30
1880,-0.24766637,-0.388216,-0.107116766,31
1881,-0.18044113,-0.33071133,-0.030170908,32
1882,-0.21808103,-0.35424137,-0.0819207,33
1883,-0.26588535,-0.39692387,-0.13484684,34
1884,-0.3501787,-0.4808425,-0.21951486,35
1885,-0.43261054,-0.5700281,-0.29519293,36
1886,-0.3963409,-0.5275587,-0.2651231,37
1887,-0.50335246,-0.6451567,-0.36154824,38
1888,-0.38630855,-0.5113999,-0.26121715,39
1889,-0.23932517,-0.38070983,-0.09794051,40
1890,-0.49004412,-0.63050044,-0.3495878,41
1891,-0.39072788,-0.54433453,-0.23712125,42
1892,-0.4390568,-0.59997225,-0.2781414,43
1893,-0.43251488,-0.59749687,-0.26753289,44
1894,-0.5249311,-0.6895776,-0.3602846,45
1895,-0.45238245,-0.6077465,-0.29701844,46
1896,-0.27457422,-0.43492264,-0.11422582,47
1897,-0.2680399,-0.43204856,-0.10403126,48
1898,-0.5411372,-0.70255315,-0.37972128,49
1899,-0.37782213,-0.5384351,-0.21720915,50
1900,-0.27106032,-0.43950734,-0.10261331,51
1901,-0.37191966,-0.53762037,-0.20621893,52
1902,-0.41805556,-0.577273,-0.25883815,53
1903,-0.56152844,-0.7174399,-0.405617,54
1904,-0.6167693,-0.7708903,-0.46264827,55
1905,-0.4121055,-0.5700418,-0.25416923,56
1906,-0.37793586,-0.53093016,-0.22494154,57
1907,-0.47162786,-0.62511617,-0.31813955,58
1908,-0.5499147,-0.69921356,-0.4006159,59
1909,-0.57780594,-0.72388566,-0.43172622,60
1910,-0.5706339,-0.7194638,-0.421804,61
1911,-0.6252645,-0.774938,-0.47559103,62
1912,-0.42106485,-0.5589339,-0.28319576,63
1913,-0.43961346,-0.59787965,-0.28134727,64
1914,-0.25608647,-0.41677064,-0.095402285,65
1915,-0.20816307,-0.3900196,-0.026306517,66
1916,-0.3969349,-0.5912876,-0.20258217,67
1917,-0.5015152,-0.71294403,-0.29008645,68
1918,-0.37980196,-0.6129061,-0.14669779,69
1919,-0.278756,-0.505115,-0.052396983,70
1920,-0.28801098,-0.490561,-0.085460976,71
1921,-0.31809315,-0.5107803,-0.12540604,72
1922,-0.37588054,-0.54243976,-0.20932133,73
1923,-0.380549,-0.5504154,-0.21068266,74
1924,-0.43143332,-0.6030578,-0.25980884,75
1925,-0.39629188,-0.57065773,-0.22192603,76
1926,-0.2437228,-0.40997115,-0.077474445,77
1927,-0.35196185,-0.5198087,-0.184115,78
1928,-0.3261094,-0.50192845,-0.15029038,79
