ice_sample,analysis_date,mean_ice_depth,ice_age,mean_air_age,co2_mixing_ratio,id
DE08-2 008,9-Dec-93,81.11,1948,1978,335.2,1
DE08-2 012,15-Dec-93,81.3,1948,1978,332,2
DE08-2 003,17-Aug-93,85.05,1945,1975,331.2,3
DE08-2 002,6-Aug-93,87.96,1943,1973,328.1,4
DE08-2 005,24-Aug-93,90.55,1941,1971,324.1,5
DE08-2 015,3-Aug-95,91.69,1940.2,1970,325.2,6
DE08-2 016,3-Aug-95,92.3,1939.7,1970,324.7,7
DE08-2 009,15-Dec-93,120.27,1918,1948,309.9,8
DE08-2 007,9-Dec-93,128.79,1910,1940,310.5,9
DE08-2 011,15-Dec-93,135.82,1904,1934,309.2,10
DE08-2 006,9-Dec-93,242.81,1802,1832,284.5,11
